key,series,name,name_zh,country,website,itra_url,verified,verified_at,source
utmb-gauja,utmb,Gauja Trail,,LVA,https://gauja.utmb.world/,,yes,2026-08-05,https://gauja.utmb.world/
utmb-kat100,utmb,KAT100,,AUT,https://kat.utmb.world/,,yes,2026-08-05,https://kat.utmb.world/
utmb-mont-blanc,utmb,UTMB Mont-Blanc,UTMB 白朗峰,FRA,https://montblanc.utmb.world/,,yes,2026-08-05,https://montblanc.utmb.world/
utmb-wildstrubel,utmb,Wildstrubel,,CHE,https://wildstrubel.utmb.world/,,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-kackar,utmb,Kaçkar by UTMB,,TUR,https://kackar.utmb.world/,,yes,2026-08-05,https://kackar.utmb.world/
utmb-julian-alps,utmb,Julian Alps Trail Run,,SVN,https://julianalps.utmb.world/,,yes,2026-08-05,https://julianalps.utmb.world/
utmb-nice,utmb,Nice Côte d'Azur,,FRA,https://nice.utmb.world/,,yes,2026-08-05,https://nice.utmb.world/
utmb-kullamannen,utmb,Kullamannen,,SWE,https://kullamannen.utmb.world/,,yes,2026-08-05,https://kullamannen.utmb.world/
utmb-mallorca,utmb,Mallorca Serra de Tramuntana,,ESP,https://mallorca.utmb.world/,,yes,2026-08-05,https://mallorca.utmb.world/
utmb-tarawera,utmb,Tarawera Ultra-Trail,,NZL,https://tarawera.utmb.world/,,yes,,
utmb-australia,utmb,Ultra-Trail Australia,,AUS,https://uta.utmb.world/,,yes,2026-08-05,https://uta.utmb.world/
utmb-kosciuszko,utmb,Kosciuszko by UTMB,,AUS,https://kosciuszko.utmb.world/,,yes,,
utmb-puerto-vallarta,utmb,Puerto Vallarta México,,MEX,https://puerto-vallarta.utmb.world/,,yes,2026-08-05,https://puerto-vallarta.utmb.world/
utmb-desert-rats,utmb,Desert RATS,,USA,https://desertrats.utmb.world/,,yes,2026-08-05,https://desertrats.utmb.world/
utmb-canyons,utmb,Canyons Endurance Runs,,USA,https://canyons.utmb.world/,,yes,,
utmb-rothrock,utmb,Rothrock Trail Challenge,,USA,https://rothrock.utmb.world/,,yes,2026-08-05,https://rothrock.utmb.world/
utmb-western-states,utmb,Western States 100,西部 100,USA,https://www.wser.org/,,yes,2026-08-05,https://www.wser.org/
utmb-speedgoat,utmb,Speedgoat Mountain Races,,USA,https://speedgoat.utmb.world/,,yes,2026-08-05,https://speedgoat.utmb.world/
utmb-borealys,utmb,Boréalys Mont-Tremblant,,CAN,https://borealys.utmb.world/,,yes,2026-08-05,https://borealys.utmb.world/
utmb-whistler,utmb,Ultra Trail Whistler,威士拿 UTMB,CAN,https://whistler.utmb.world/,,yes,,
utmb-grindstone,utmb,Grindstone Trail Running Festival,,USA,https://grindstone.utmb.world/,,yes,2026-08-05,https://grindstone.utmb.world/
utmb-kodiak,utmb,Kodiak Ultra Marathons,,USA,https://kodiak.utmb.world/,,yes,2026-08-05,https://kodiak.utmb.world/
utmb-pacific-trails,utmb,Pacific Trails Ultra,,USA,https://pacifictrails.utmb.world/,,yes,2026-08-05,https://pacifictrails.utmb.world/
utmb-valholl,utmb,Ushuaia by UTMB,,ARG,https://ushuaia.utmb.world/,,yes,2026-08-05,https://ushuaia.utmb.world/
utmb-torrencial,utmb,Torrencial Trail,,BRA,https://torrencial.utmb.world/races,,yes,2026-08-05,https://torrencial.utmb.world/races
utmb-quito,utmb,Quito Trail,,ECU,https://quito.utmb.world/,,yes,2026-08-05,https://quito.utmb.world/
utmb-paraty,utmb,Paraty Brazil,,BRA,https://paraty.utmb.world/,,yes,2026-08-05,https://paraty.utmb.world/
utmb-bariloche,utmb,Bariloche by UTMB,,ARG,https://bariloche.utmb.world/,,yes,2026-08-05,https://bariloche.utmb.world/
utmb-kenting,utmb,Xtrail Kenting,墾丁,TWN,https://xtrail.utmb.world/,,yes,2026-08-05,https://xtrail.utmb.world/
utmb-xiamen,utmb,Xiamen by UTMB,廈門,CHN,https://xiamen.utmb.world/,,yes,2026-08-05,https://xiamen.utmb.world/
utmb-mogan,utmb,Ultra-Trail Mogan,莫干山,CHN,https://mogan.utmb.world/,,yes,2026-08-05,https://mogan.utmb.world/
utmb-amazean,utmb,Amazean Jungle Thailand,,THA,https://amazean.utmb.world/,,yes,2026-08-05,https://amazean.utmb.world/
utmb-kagaspa,utmb,Kaga Spa Trail Endurance 100,,JPN,https://kagaspa.utmb.world/,,yes,2026-08-05,https://kagaspa.utmb.world/
utmb-malaysia,utmb,Malaysia Ultra-Trail,,MYS,https://malaysia.utmb.world/,,yes,2026-08-05,https://malaysia.utmb.world/
utmb-oman,utmb,Oman by UTMB,,OMN,https://oman.utmb.world/,,yes,2026-08-05,https://oman.utmb.world/
utmb-mauritius,utmb,Mauritius Ultra-Trail,,MUS,,,no,,unresolved: mauritius.utmb.world 302s to utmb.world and the event is absent from UTMB's official list
wtm-hk100,wtm,Anta Guanjun Hong Kong 100,香港 100,HKG,https://ultraracecalendar.com/events/6165/hong-kong-100/,,yes,2026-08-05,https://ultraracecalendar.com/events/6165/hong-kong-100/
wtm-black-canyon,wtm,Black Canyon Ultras,,USA,https://www.aravaiparunning.com/blackcanyon/,,yes,2026-08-05,https://www.aravaiparunning.com/blackcanyon/
wtm-transgrancanaria,wtm,The North Face Transgrancanaria,,ESP,https://transgrancanaria.net/,,yes,,
wtm-mt-fuji,wtm,Mt. FUJI 100,富士山 100,JPN,https://www.mtfuji100.com/,,yes,2026-08-05,https://www.mtfuji100.com/
wtm-miut,wtm,Madeira Island Ultra-Trail,,PRT,https://itra.run/Races/RaceDetails/10959,https://itra.run/Races/RaceDetails/10959,yes,2026-08-05,https://itra.run/Races/RaceDetails/10959
wtm-south-downs,wtm,South Downs Way 100,,GBR,https://www.centurionrunning.com/races/south-downs-way-100-2026,https://itra.run/Races/RaceDetails/106345,yes,2026-08-05,https://www.centurionrunning.com/races/south-downs-way-100-2026
wtm-quebec-mega-trail,wtm,Québec Mega Trail,,CAN,https://ultratrailcanada.com/en/,,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-vietnam-mountain,wtm,Vietnam Mountain Marathon,,VNM,https://vietnamtrailseries.com/mountain-marathon/,,yes,2026-08-05,https://vietnamtrailseries.com/mountain-marathon/
wtm-grampians,wtm,Grampians Peaks Trail,,AUS,https://www.gpt100.com.au/,,yes,2026-08-05,https://www.gpt100.com.au/
wtm-cape-town,wtm,RMB Ultra-Trail Cape Town,,ZAF,https://www.ultratrailcapetown.com/,,yes,,
other-hardrock,others,Hardrock 100,硬石 100,USA,https://hardrock100.com/,,yes,,https://hardrock100.com/hardrock-lottery.php
other-leadville,others,Leadville Trail 100,,USA,https://www.leadvilleraceseries.com/run/leadvilletrail100run/,,yes,2026-08-05,https://www.leadvilleraceseries.com/run/leadvilletrail100run/
other-badwater,others,Badwater 135,惡水 135,USA,https://www.badwater.com/,,yes,2026-08-05,https://www.badwater.com/
other-wasatch,others,Wasatch Front 100,,USA,https://www.wasatch100.com/,,yes,2026-08-05,https://www.wasatch100.com/
other-angeles-crest,others,Angeles Crest 100,,USA,https://ac100.com/,,yes,2026-08-05,https://ac100.com/
other-vermont,others,Vermont 100,,USA,https://vermont100.com/,,yes,2026-08-05,https://vermont100.com/
other-barkley,others,Barkley Marathons,巴克利馬拉松,USA,,,yes,2026-08-05,https://www.mattmahoney.net/barkley/faq.html — the Barkley has no official website; entry is by email to a race director whose address is secret
other-cocodona,others,Cocodona 250,,USA,https://www.aravaiparunning.com/cocodona/,,yes,2026-08-05,https://www.aravaiparunning.com/cocodona/
other-moab-240,others,Moab 240,,USA,https://www.destinationtrailrun.com/moab,,yes,2026-08-05,https://www.destinationtrailrun.com/moab
other-bigfoot-200,others,Bigfoot 200,,USA,https://www.destinationtrailrun.com/bigfoot,,yes,2026-08-05,https://www.destinationtrailrun.com/bigfoot
other-sinister-7,others,Sinister 7 Ultra,,CAN,https://www.sinistersports.ca/sinister7/,,yes,,https://www.sinistersports.ca/sinister7/
other-canadian-death-race,others,Canadian Death Race,,CAN,https://www.sinistersports.ca/deathrace/,,yes,,https://www.sinistersports.ca/deathrace/
other-squamish-50,others,Squamish 50,,CAN,https://squamish50.com/,,yes,,https://squamish50.com/registration/
other-tor-des-geants,others,Tor des Géants,巨人之旅,ITA,https://torxtrail.com/,,yes,,https://torxtrail.com/tor330-tor-des-geants/
other-templiers,others,Grand Trail des Templiers,,FRA,https://www.festivaldestempliers.com/,,yes,2026-08-05,https://www.festivaldestempliers.com/
other-transvulcania,others,Transvulcania,橫越火山,ESP,https://www.transvulcania.com/,,yes,2026-08-05,https://www.transvulcania.com/
other-sierre-zinal,others,Sierre-Zinal,,CHE,https://www.sierre-zinal.com/,,yes,,https://www.sierre-zinal.com/en/sierre-zinal-2026-dates-2840.html
other-zegama,others,Zegama-Aizkorri,,ESP,https://www.zegama-aizkorri.com/,,yes,2026-08-05,https://www.zegama-aizkorri.com/
other-trofeo-kima,others,Trofeo Kima,,ITA,https://www.trofeokima.org/,,yes,2026-08-05,https://www.trofeokima.org/
other-ticino-wildlands,others,Ticino Wildlands,,CHE,https://www.ticino500.ch/,,yes,,https://www.ticino500.ch/
other-translantau,utmb,Translantau,大嶼山越野賽,HKG,https://translantau.utmb.world/,,yes,,
other-hk4tuc,others,Hong Kong Four Trails Ultra Challenge,香港四徑大挑戰,HKG,https://linktr.ee/hk4tuc,,yes,2026-08-05,https://linktr.ee/hk4tuc
other-diagonale-des-fous,others,Grand Raid de la Réunion,瘋人對角線,REU,https://www.grandraid-reunion.com/,,yes,,https://la1ere.franceinfo.fr/reunion/grand-raid-2026-decouvrez-les-traces-des-cinq-courses-1682019.html
other-marathon-des-sables,others,Marathon des Sables,撒哈拉沙漠馬拉松,MAR,https://www.marathondessables.com/,,yes,2026-08-05,https://www.marathondessables.com/
other-chongli-168,others,Chongli 168,崇礼 168,CHN,https://chongli-168.mararun.com/,,yes,2026-08-05,https://www.news.cn/sports/20260714/3b0fb7fd97664f099b76f8204ce12715/c.html
other-ninghai,others,Ninghai Trail Challenge,宁海越野挑战赛,CHN,http://www.ninghai100.com,,yes,2026-08-05,https://www.ninghai.gov.cn/art/2024/10/17/art_1229092276_59178857.html
other-dali-100,others,Dali 100,大理 100,CHN,http://race.leiut.cn/,,yes,2026-08-05,http://race.leiut.cn/
other-wugongshan,others,Wugongshan International Trail Race,武功山国际越野赛,CHN,http://www.mtwugong.com/,https://itra.run/Races/RaceDetails/106406,yes,2026-08-05,http://www.mtwugong.com/
other-huangshan-168,others,Huangshan 168,黄山 168,CHN,,,yes,2026-08-05,"https://www.runninginchina.org/event/default/2980.html — no stable official domain; the event runs under rotating sponsor names (徽州168, 西宏168) and registers through third-party platforms"
utmb-mut,utmb,Mountain Ultra Trail,,ZAF,https://mut.utmb.world/,,yes,2026-08-05,https://mut.utmb.world/
other-fat-dog,others,Fat Dog 120,,CAN,https://www.fatdog120.ca/,,yes,2026-08-05,https://www.fatdog120.ca/
other-knee-knacker,others,Knee Knackering North Shore Trail Run,,CAN,https://kneeknacker.com/,,yes,2026-08-05,https://kneeknacker.com/
other-frosty-mountain,others,Frosty Mountain Ultra,,CAN,https://trailwhisperer.ca/frosty/,,yes,2026-08-05,https://trailwhisperer.ca/frosty/
other-meet-your-maker,others,Meet Your Maker 50,,CAN,https://trailrunner.com/event/meet-your-maker-50/,,yes,2026-08-05,https://trailrunner.com/event/meet-your-maker-50/
other-black-spur,others,Black Spur Ultra,,CAN,https://www.sinistersports.ca/blackspur/,,yes,2026-08-05,https://www.sinistersports.ca/blackspur/
