event_key,key,label,distance_km,elevation_gain_m,order,verified,verified_at,source
utmb-val-daran,cdh,Camins d'Hèr,110,6400,2,yes,2026-08-05,https://valdaran.utmb.world/
utmb-val-daran,tdl,Termières dera Libertat,75,5100,3,yes,2026-08-05,https://valdaran.utmb.world/
utmb-val-daran,pda,Peades d'Aigua,55,3300,4,yes,2026-08-05,https://valdaran.utmb.world/
utmb-val-daran,exp,Experiència d'Aran,32,2100,5,yes,2026-08-05,https://valdaran.utmb.world/
utmb-val-daran,sky-promesas,SKY 18K Promesas,18,900,6,yes,2026-08-05,https://valdaran.utmb.world/
utmb-val-daran,sky,SKY Baqueira Beret,18,900,7,yes,2026-08-05,https://valdaran.utmb.world/
utmb-val-daran,vielha10k,Vielha 10K,10,500,8,yes,2026-08-05,https://valdaran.utmb.world/
utmb-restonica,utc100m,UTC100M,110,7200,1,yes,2026-08-05,https://restonica.utmb.world/
utmb-restonica,rt100k,RT100K,69,3950,2,yes,2026-08-05,https://restonica.utmb.world/
utmb-restonica,tt50k,TT50K,33,2400,3,yes,2026-08-05,https://restonica.utmb.world/
utmb-restonica,gt20k,GT20K,17,650,4,yes,2026-08-05,https://restonica.utmb.world/
utmb-verbier,x-alpine,X-Alpine,140,9000,1,yes,2026-08-05,https://verbier.utmb.world/
utmb-verbier,x-traversee,X-Traversée,77,5100,2,yes,2026-08-05,https://verbier.utmb.world/
utmb-verbier,marathon,Verbier Marathon,43,3000,3,yes,2026-08-05,https://verbier.utmb.world/
utmb-verbier,x-plore,Verbier X-Plore,28,1700,4,yes,2026-08-05,https://verbier.utmb.world/
utmb-eiger,e250,E250 UNESCO Trail,261,18000,1,yes,2026-08-05,https://eiger.utmb.world/
utmb-eiger,e101,E101 Ultra Trail,101,6700,2,yes,2026-08-05,https://eiger.utmb.world/
utmb-eiger,e51,E51 Panorama Trail,51,3100,3,yes,2026-08-05,https://eiger.utmb.world/
utmb-eiger,e35,E35 North Face Trail,35,2500,4,yes,2026-08-05,https://eiger.utmb.world/
utmb-eiger,e16,E16 Pleasure Trail,16,950,5,yes,2026-08-05,https://eiger.utmb.world/
utmb-eiger,surprise,Trail Surprise,15,800,6,yes,2026-08-05,https://eiger.utmb.world/
utmb-mrww,sdv,Sentieri dei Valdôtains,120,8200,1,yes,2026-08-05,https://mrww.utmb.world/
utmb-mrww,mrt,Monte Rosa Trail,82,6300,2,yes,2026-08-05,https://mrww.utmb.world/
utmb-mrww,wwt,Walserwaeg Trail,43,3100,3,yes,2026-08-05,https://mrww.utmb.world/
utmb-mrww,rmt,Regina Margherita Trail,15,650,4,yes,2026-08-05,https://mrww.utmb.world/
utmb-mrww,jwt,Junior Walser Trail,9,600,5,yes,2026-08-05,https://mrww.utmb.world/
utmb-mrww,bp,Becca Pink,4,,6,yes,2026-08-05,https://mrww.utmb.world/
utmb-bucovina,ultra-rocks,Ultra Rocks,114,7000,1,yes,2026-08-05,https://bucovina.utmb.world/
utmb-bucovina,four-summits,Four Summits,72,4600,2,yes,2026-08-05,https://bucovina.utmb.world/
utmb-bucovina,ladys-rocks,Lady's Rocks,48,3200,3,yes,2026-08-05,https://bucovina.utmb.world/
utmb-bucovina,rocky,Rocky,33,2000,4,yes,2026-08-05,https://bucovina.utmb.world/
utmb-bucovina,radical,Radical,20,1100,5,yes,2026-08-05,https://bucovina.utmb.world/
utmb-bucovina,rumble-rock,Rumble Rock,16.5,700,6,yes,2026-08-05,https://bucovina.utmb.world/
utmb-bucovina,runc,Runc Challenge,5,550,7,yes,2026-08-05,https://bucovina.utmb.world/
utmb-gauja,100k,Gauja Trail 100K,91,2200,1,yes,2026-08-05,https://gauja.utmb.world/
utmb-gauja,50k,Gauja Trail 50K,53,1200,2,yes,2026-08-05,https://gauja.utmb.world/
utmb-gauja,20k,Gauja Trail 20K,21,500,3,yes,2026-08-05,https://gauja.utmb.world/
utmb-gauja,20k-nw,Gauja Trail 20K Nordic Walking,21,500,4,yes,2026-08-05,https://gauja.utmb.world/
utmb-gauja,10k,Gauja Trail 10K,13.5,300,5,yes,2026-08-05,https://gauja.utmb.world/
utmb-gauja,youth,Gauja Trail Youth,6,100,6,yes,2026-08-05,https://gauja.utmb.world/
utmb-kat100,100m,100 Miles,169,9000,1,yes,2026-08-05,https://kat.utmb.world/
utmb-kat100,endurance,Endurance Trail,75,4100,2,yes,2026-08-05,https://kat.utmb.world/
utmb-kat100,marathon,Marathon Trail,51,3250,3,yes,2026-08-05,https://kat.utmb.world/
utmb-kat100,speed,Speed Trail,24,1650,4,yes,2026-08-05,https://kat.utmb.world/
utmb-kat100,easy,Easy Trail,8,250,5,yes,2026-08-05,https://kat.utmb.world/
utmb-mont-blanc,ptl,PTL,300,25000,1,yes,2026-08-05,https://montblanc.utmb.world/
utmb-mont-blanc,utmb,UTMB,174,9900,2,yes,2026-08-05,https://montblanc.utmb.world/
utmb-mont-blanc,tds,TDS,145,9500,3,yes,2026-08-05,https://montblanc.utmb.world/
utmb-mont-blanc,ccc,CCC,101,6050,4,yes,2026-08-05,https://montblanc.utmb.world/
utmb-mont-blanc,occ,OCC,60,3500,5,yes,2026-08-05,https://montblanc.utmb.world/
utmb-mont-blanc,mcc,MCC,40,2350,6,yes,2026-08-05,https://montblanc.utmb.world/
utmb-mont-blanc,etc,ETC,15,1200,7,yes,2026-08-05,https://montblanc.utmb.world/
utmb-mont-blanc,ycc,YCC,15,1200,8,yes,2026-08-05,https://montblanc.utmb.world/
utmb-wildstrubel,wild110,Wild 110 Crans-Montana,113,6600,1,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-wildstrubel,wild70,Wild 70 Kandersteg,72,4600,2,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-wildstrubel,wild55,Wild 55 Adelboden,55,3300,3,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-wildstrubel,glacier-marathon,Wild Glacier Marathon Lenk,42,2700,4,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-wildstrubel,wild25,Wild 25 Leukerbad,26,1200,5,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-wildstrubel,wild10,Wild 10 Crans-Montana,10,500,6,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-wildstrubel,nextgen,Wild NextGen Crans-Montana,10,500,7,yes,2026-08-05,https://wildstrubel.utmb.world/
utmb-kackar,100k,Kaçkar 100K,82,5600,1,yes,2026-08-05,https://kackar.utmb.world/
utmb-kackar,50k,Kaçkar 50K,44,3000,2,yes,2026-08-05,https://kackar.utmb.world/
utmb-kackar,20k,Kaçkar 20K,20,1400,3,yes,2026-08-05,https://kackar.utmb.world/
utmb-kackar,ayder4k,Ayder 4K,4,230,4,yes,2026-08-05,https://kackar.utmb.world/
utmb-julian-alps,120k,I Feel Slovenia 120K,124,5893,1,yes,2026-08-05,https://julianalps.utmb.world/
utmb-julian-alps,80k,Lake Bled 80K,80,3826,2,yes,2026-08-05,https://julianalps.utmb.world/
utmb-julian-alps,50k,Sky Trail 50K,50,2665,3,yes,2026-08-05,https://julianalps.utmb.world/
utmb-julian-alps,25k,Kranjska Gora 25K,25,1028,4,yes,2026-08-05,https://julianalps.utmb.world/
utmb-julian-alps,15k,Intersport Speed 15K,15,553,5,yes,2026-08-05,https://julianalps.utmb.world/
utmb-julian-alps,10k,Funny 10K,10,308,6,yes,2026-08-05,https://julianalps.utmb.world/
utmb-nice,100m,Ultra Trail Métropole Nice Côte d'Azur 100M,165,8900,1,yes,2026-08-05,https://nice.utmb.world/
utmb-nice,100k,Roubion - Nice 100K,109,5400,2,yes,2026-08-05,https://nice.utmb.world/
utmb-nice,50k-eze,Eze - Nice 50K,50,2000,3,yes,2026-08-05,https://nice.utmb.world/
utmb-nice,50k-levens,Levens - Nice 50K,39,1388,4,yes,2026-08-05,https://nice.utmb.world/
utmb-nice,20k,Saint-Jean-Cap-Ferrat - Nice 20K,23,680,5,yes,2026-08-05,https://nice.utmb.world/
utmb-kullamannen,100m,Ultra 100 Miles,173,2300,1,yes,2026-08-05,https://kullamannen.utmb.world/
utmb-kullamannen,100k,Sprint Ultra 100 km,108,749,2,yes,2026-08-05,https://kullamannen.utmb.world/
utmb-kullamannen,seventh-seal,Seventh Seal,53,727,3,yes,2026-08-05,https://kullamannen.utmb.world/
utmb-kullamannen,north-shore,North Shore,22,96,4,yes,2026-08-05,https://kullamannen.utmb.world/
utmb-mallorca,sdt,SDT - Serra de Tramuntana,,,1,yes,2026-08-05,https://mallorca.utmb.world/
utmb-mallorca,cps,CPS - Camins de Pedra en Sec,,,2,yes,2026-08-05,https://mallorca.utmb.world/
utmb-mallorca,etm,ETM - Els Tres Mils,,,3,yes,2026-08-05,https://mallorca.utmb.world/
utmb-mallorca,cda,CDA - Camins de s'Arxiduc,,,4,yes,2026-08-05,https://mallorca.utmb.world/
utmb-tarawera,tmiler,TMiler,163,3800,1,yes,2026-08-05,https://tarawera.utmb.world/
utmb-tarawera,t102,T102,102,2300,2,yes,2026-08-05,https://tarawera.utmb.world/
utmb-tarawera,t50,T50,52,1150,3,yes,2026-08-05,https://tarawera.utmb.world/
utmb-tarawera,t21,T21,23,400,4,yes,2026-08-05,https://tarawera.utmb.world/
utmb-tarawera,t14,T14,14,161,5,yes,2026-08-05,https://tarawera.utmb.world/
utmb-australia,utamiler,UTAMiler,161.1,7200,1,yes,2026-08-05,https://uta.utmb.world/
utmb-australia,uta100,UTA100,101,4400,2,yes,2026-08-05,https://uta.utmb.world/
utmb-australia,uta50,UTA50,51,2400,3,yes,2026-08-05,https://uta.utmb.world/
utmb-australia,uta22,UTA22,22,1200,4,yes,2026-08-05,https://uta.utmb.world/
utmb-australia,uta11,UTA11,11.5,731,5,yes,2026-08-05,https://uta.utmb.world/
utmb-kosciuszko,koscimiler,KosciMiler,161,5131,1,yes,2026-08-05,https://kosciuszko.utmb.world/
utmb-kosciuszko,kosci100,Kosci100,106,3260,2,yes,2026-08-05,https://kosciuszko.utmb.world/
utmb-kosciuszko,kosci50,Kosci50,50,1400,3,yes,2026-08-05,https://kosciuszko.utmb.world/
utmb-kosciuszko,kosci30,Kosci30,32,670,4,yes,2026-08-05,https://kosciuszko.utmb.world/
utmb-puerto-vallarta,hikuri81k,Hikuri 81K,81,3900,1,yes,2026-08-05,https://puerto-vallarta.utmb.world/
utmb-puerto-vallarta,nakawe53k,Nakawé 53K,53,2500,2,yes,2026-08-05,https://puerto-vallarta.utmb.world/
utmb-puerto-vallarta,haramara37k,Haramara 37K,37,1600,3,yes,2026-08-05,https://puerto-vallarta.utmb.world/
utmb-puerto-vallarta,ereno20k,Ereno 20K,20,1050,4,yes,2026-08-05,https://puerto-vallarta.utmb.world/
utmb-puerto-vallarta,pata-salada5k,Pata Salada 5K,5,200,5,yes,2026-08-05,https://puerto-vallarta.utmb.world/
utmb-desert-rats,100k,100K,100,2050,1,yes,2026-08-05,https://desertrats.utmb.world/
utmb-desert-rats,50k,50K,48,1050,2,yes,2026-08-05,https://desertrats.utmb.world/
utmb-desert-rats,21k,21K,21,700,3,yes,2026-08-05,https://desertrats.utmb.world/
utmb-desert-rats,10k,10K,9,200,4,yes,2026-08-05,https://desertrats.utmb.world/
utmb-canyons,100m,100M,161,5550,1,yes,2026-08-05,https://canyons.utmb.world/
utmb-canyons,100k,100K,100,3750,2,yes,2026-08-05,https://canyons.utmb.world/
utmb-canyons,50k,50K,50,1700,3,yes,2026-08-05,https://canyons.utmb.world/
utmb-canyons,25k,25K,25,850,4,yes,2026-08-05,https://canyons.utmb.world/
utmb-rothrock,50k,50K,53.3,1550,1,yes,2026-08-05,https://rothrock.utmb.world/
utmb-rothrock,25k,25K,26.9,1188,2,yes,2026-08-05,https://rothrock.utmb.world/
utmb-western-states,100m,Western States 100-Mile Endurance Run,161,5490,1,yes,2026-08-05,https://www.wser.org/
utmb-speedgoat,50k,50K,50,3450,1,yes,2026-08-05,https://speedgoat.utmb.world/
utmb-speedgoat,30k,30K,31,2000,2,yes,2026-08-05,https://speedgoat.utmb.world/
utmb-speedgoat,10k,10K,10,500,3,yes,2026-08-05,https://speedgoat.utmb.world/
utmb-speedgoat,summit,The Summit,5.6,921,4,yes,2026-08-05,https://speedgoat.utmb.world/
utmb-borealys,odyssee100k,Odyssée 100K,81,4020,1,yes,2026-08-05,https://borealys.utmb.world/
utmb-borealys,relais80k,Relais 80K,81,4020,2,yes,2026-08-05,https://borealys.utmb.world/
utmb-borealys,tremblante50k,Tremblante 50K,46.4,2612,3,yes,2026-08-05,https://borealys.utmb.world/
utmb-borealys,diable20k,Diable 20K,26.6,1645,4,yes,2026-08-05,https://borealys.utmb.world/
utmb-borealys,chutes-croches,Chutes-Croches 20K,14.5,896,5,yes,2026-08-05,https://borealys.utmb.world/
utmb-borealys,ptite5k,P'tite 5K,5.8,379,6,yes,2026-08-05,https://borealys.utmb.world/
utmb-whistler,100k,100K,100,5100,1,yes,2026-08-05,https://whistler.utmb.world/
utmb-whistler,50k,50K,50,3200,2,yes,2026-08-05,https://whistler.utmb.world/
utmb-whistler,25k,25K,26,1500,3,yes,2026-08-05,https://whistler.utmb.world/
utmb-whistler,10k,10K,12,550,4,yes,2026-08-05,https://whistler.utmb.world/
utmb-grindstone,100m,100M,167.4,6400,1,yes,2026-08-05,https://grindstone.utmb.world/
utmb-grindstone,100k,100K,100,3350,2,yes,2026-08-05,https://grindstone.utmb.world/
utmb-grindstone,50k,50K,50,1550,3,yes,2026-08-05,https://grindstone.utmb.world/
utmb-grindstone,21k,21K,21,500,4,yes,2026-08-05,https://grindstone.utmb.world/
utmb-kodiak,100m,100M,162,4850,1,yes,2026-08-05,https://kodiak.utmb.world/
utmb-kodiak,100k,100K,99,3120,2,yes,2026-08-05,https://kodiak.utmb.world/
utmb-kodiak,50k,50K,48.4,1339,3,yes,2026-08-05,https://kodiak.utmb.world/
utmb-kodiak,21k,21K,19.5,575,4,yes,2026-08-05,https://kodiak.utmb.world/
utmb-kodiak,10k,10K,10.5,280,5,yes,2026-08-05,https://kodiak.utmb.world/
utmb-pacific-trails,50k,50K,51,1550,1,yes,2026-08-05,https://pacifictrails.utmb.world/
utmb-pacific-trails,25k,25K,25,650,2,yes,2026-08-05,https://pacifictrails.utmb.world/
utmb-valholl,epic130k,EPIC 130K,113,4854,1,yes,2026-08-05,https://ushuaia.utmb.world/
utmb-valholl,advance85k,ADVANCE 85K,86.8,3677,2,yes,2026-08-05,https://ushuaia.utmb.world/
utmb-valholl,challenge50k,CHALLENGE 50K,50,2712,3,yes,2026-08-05,https://ushuaia.utmb.world/
utmb-valholl,courage33k,COURAGE 33K,33.8,1553,4,yes,2026-08-05,https://ushuaia.utmb.world/
utmb-valholl,power22k,POWER 22K,22.4,944,5,yes,2026-08-05,https://ushuaia.utmb.world/
utmb-valholl,explore12k,EXPLORE 12K,13.4,684,6,yes,2026-08-05,https://ushuaia.utmb.world/
utmb-torrencial,pilolcura100k,PILOLCURA 100K,100,,1,yes,2026-08-05,https://torrencial.utmb.world/races
utmb-torrencial,oncol65k,ONCOL 65K,65,,2,yes,2026-08-05,https://torrencial.utmb.world/races
utmb-torrencial,llancahue44k,LLANCAHUE 44K,44,,3,yes,2026-08-05,https://torrencial.utmb.world/races
utmb-torrencial,collico21k,COLLICO 21K,21,,4,yes,2026-08-05,https://torrencial.utmb.world/races
utmb-torrencial,cau-cau12k,CAU CAU 12K,12,,5,yes,2026-08-05,https://torrencial.utmb.world/races
utmb-torrencial,isla-teja6k,ISLA TEJA 6K,6,,6,yes,2026-08-05,https://torrencial.utmb.world/races
utmb-quito,oso80k,80K Oso,76,4400,1,yes,2026-08-05,https://quito.utmb.world/
utmb-quito,nutria50k,50K Nutria,53,2800,2,yes,2026-08-05,https://quito.utmb.world/
utmb-quito,tucan30k,30K Tucán,31,1600,3,yes,2026-08-05,https://quito.utmb.world/
utmb-quito,quinde20k,20K Quinde,20,1000,4,yes,2026-08-05,https://quito.utmb.world/
utmb-quito,humboldt12k,12K Humboldt,13,850,5,yes,2026-08-05,https://quito.utmb.world/
utmb-quito,rana6k,6K Rana,6.5,300,6,yes,2026-08-05,https://quito.utmb.world/
utmb-paraty,ptr108,PTR 108,108,4850,1,yes,2026-08-05,https://paraty.utmb.world/
utmb-paraty,ptr58,PTR 58,58,3400,2,yes,2026-08-05,https://paraty.utmb.world/
utmb-paraty,ptr34,PTR 34,34,1150,3,yes,2026-08-05,https://paraty.utmb.world/
utmb-paraty,ptr25,PTR 25,25,750,4,yes,2026-08-05,https://paraty.utmb.world/
utmb-paraty,ptr17,PTR 17,17,600,5,yes,2026-08-05,https://paraty.utmb.world/
utmb-paraty,run7,RUN 7,7,50,6,yes,2026-08-05,https://paraty.utmb.world/
utmb-bariloche,tronador130k,TRONADOR 130K,132,6516,1,yes,2026-08-05,https://bariloche.utmb.world/
utmb-bariloche,frey85k,FREY 85K,86,4725,2,yes,2026-08-05,https://bariloche.utmb.world/
utmb-bariloche,bella-vista55k,BELLA VISTA 55K,57.5,3000,3,yes,2026-08-05,https://bariloche.utmb.world/
utmb-bariloche,nahuel-huapi33k,NAHUEL HUAPI 33K,36,1421,4,yes,2026-08-05,https://bariloche.utmb.world/
utmb-bariloche,cerro-lindo22k,CERRO LINDO 22K,22,800,5,yes,2026-08-05,https://bariloche.utmb.world/
utmb-bariloche,otto12k,OTTO 12K,12.7,500,6,yes,2026-08-05,https://bariloche.utmb.world/
utmb-kenting,100k,Xtrail 100K,98,3291,1,yes,2026-08-05,https://xtrail.utmb.world/
utmb-kenting,50k,Xtrail 50K,50,1496,2,yes,2026-08-05,https://xtrail.utmb.world/
utmb-kenting,25k,Xtrail 25K,26,589,3,yes,2026-08-05,https://xtrail.utmb.world/
utmb-kenting,10k,Xtrail 10K,11,201,4,yes,2026-08-05,https://xtrail.utmb.world/
utmb-xiamen,lxm100k,LXM 100K,96.4,5154,1,yes,2026-08-05,https://xiamen.utmb.world/
utmb-xiamen,mxm50k,MXM 50K,53,2460,2,yes,2026-08-05,https://xiamen.utmb.world/
utmb-xiamen,sxm20k,SXM 20K,28.9,1519,3,yes,2026-08-05,https://xiamen.utmb.world/
utmb-xiamen,exm10k,EXM 10K,10.3,263,4,yes,2026-08-05,https://xiamen.utmb.world/
utmb-mogan,dmg,DMG,114,6600,1,yes,2026-08-05,https://mogan.utmb.world/
utmb-mogan,cmg,CMG,81,4600,2,yes,2026-08-05,https://mogan.utmb.world/
utmb-mogan,mmg,MMG,48,2500,3,yes,2026-08-05,https://mogan.utmb.world/
utmb-mogan,emg,EMG,25,1200,4,yes,2026-08-05,https://mogan.utmb.world/
utmb-amazean,betong100m,BETONG 100M,116,5570,1,yes,2026-08-05,https://amazean.utmb.world/
utmb-amazean,tunnel100k,TUNNEL 100K,91,3870,2,yes,2026-08-05,https://amazean.utmb.world/
utmb-amazean,jungle50k,JUNGLE 50K,55,2200,3,yes,2026-08-05,https://amazean.utmb.world/
utmb-amazean,mist20k,MIST 20K,26,900,4,yes,2026-08-05,https://amazean.utmb.world/
utmb-amazean,flower20k,FLOWER 20K,17,400,5,yes,2026-08-05,https://amazean.utmb.world/
utmb-amazean,sat-night,SAT NIGHT RUN,4,70,6,yes,2026-08-05,https://amazean.utmb.world/
utmb-kagaspa,100k,KAGASPA 100K,100,,1,yes,2026-08-05,https://kagaspa.utmb.world/
utmb-kagaspa,50k,KAGASPA 50K,50,,2,yes,2026-08-05,https://kagaspa.utmb.world/
utmb-kagaspa,20k,KAGASPA 20K,20,,3,yes,2026-08-05,https://kagaspa.utmb.world/
utmb-malaysia,my100,MY100,100,,1,yes,2026-08-05,https://malaysia.utmb.world/
utmb-malaysia,my50,MY50,50,,2,yes,2026-08-05,https://malaysia.utmb.world/
utmb-malaysia,my25,MY25,25,,3,yes,2026-08-05,https://malaysia.utmb.world/
utmb-malaysia,my13,MY13,13,,4,yes,2026-08-05,https://malaysia.utmb.world/
utmb-oman,hajar-ultra,Hajar Ultra,154,8000,1,yes,2026-08-05,https://oman.utmb.world/
utmb-oman,jabal-classic,Jabal Classic,103,5000,2,yes,2026-08-05,https://oman.utmb.world/
utmb-oman,skyward-canyon,Skyward Canyon,50,2400,3,yes,2026-08-05,https://oman.utmb.world/
